timeframe,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.0,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min,G:min7,C:maj,NA:,G:min7,D:min7,Eb:maj,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:
0.1,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min,G:min7,C:maj,NA:,G:min7,D:min7,Eb:maj,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:
0.2,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min,G:min7,B:maj,G:min,G:min7,D:min7,Eb:maj,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min
0.3,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min,G:min7,B:maj,G:min,G:min7,D:min7,Eb:maj,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min7,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min
0.4,NA:,NA:,G:min7,Bb:maj6,NA:,G:min,Bb:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,NA:,NA:,G:min7,G:min,NA:,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:min
0.5,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Bb:min,G:min7,G:min,G:min,G:min,G:min7,C:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,NA:,NA:,G:min7,G:min,G:min,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:maj
0.6,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Bb:min,G:min7,G:min,G:min,G:min,G:min7,C:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,NA:,NA:,G:min7,G:min,G:min,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:maj
0.7,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,C:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,Eb:maj,NA:,NA:,G:min7,G:min,G:min,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:maj
0.8,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,C:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,Eb:maj,NA:,NA:,G:min7,G:min,G:min,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:maj
0.9,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,C:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,NA:,G:min,G:min7,G:min,G:min,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:maj
1.0,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,C:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,NA:,G:min,G:min7,G:min,G:min,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:min
1.1,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,NA:,G:min,G:min7,G:min,G:min,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:min
1.2,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,NA:,NA:,G:min7,G:min7,G:min7,NA:,G:min
1.3,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
1.4,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,G:maj,G:min
1.5,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,G:maj,G:min
1.6,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,G:min7,G:min
1.7,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,G:min7,G:min
1.8,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,G:min7,G:min
1.9,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,G:min7,G:min
2.0,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,G:maj,G:min
2.1,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,G:maj,G:min
2.2,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
2.3,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
2.4,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,G:min7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
2.5,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
2.6,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,F#:min,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
2.7,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
2.8,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
2.9,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,G:min,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.0,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,NA:,Bb:maj,G:min,G:min7,G:min,G:min,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.1,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,G:min7,NA:,G:min,Db:maj,Bb:maj,G:min,G:min7,G:min,G:min,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.2,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,G:min,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,Db:maj,Bb:maj,NA:,G:min7,NA:,NA:,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.3,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Eb:maj,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min7,Bb:maj,NA:,G:min7,NA:,NA:,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
3.4,G:min7,G:min7,G:min7,Bb:maj6,G:min,G:min,Eb:maj,G:min7,G:min,G:min,G:min,C:7,B:maj,G:min,G:min6,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,NA:,G:min7,Bb:maj,NA:,G:min7,NA:,NA:,NA:,Bb:maj,G:min7,G:min7,G:min7,NA:,G:min
